species,file,site,node,count,px_cm,include,base_x,base_y,tip_x,tip_y
appendiculata,LAPPEAC21012-1_1_13,LAPPEAC21012,1,13,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-1_2_13,LAPPEAC21012,2,13,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-1_3_13,LAPPEAC21012,3,13,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-1_4_13,LAPPEAC21012,4,13,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-1_5_13,LAPPEAC21012,5,13,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-1_6_13,LAPPEAC21012,6,13,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-1_7_13,LAPPEAC21012,7,13,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-1_8_13,LAPPEAC21012,8,13,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-1_9_13,LAPPEAC21012,9,13,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-1_10_13,LAPPEAC21012,10,13,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-1_11_13,LAPPEAC21012,11,13,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-1_12_13,LAPPEAC21012,12,13,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-1_13_13,LAPPEAC21012,13,13,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-10_1_10,LAPPEAC21012,1,10,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-10_2_10,LAPPEAC21012,2,10,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-10_3_10,LAPPEAC21012,3,10,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-10_4_10,LAPPEAC21012,4,10,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-10_5_10,LAPPEAC21012,5,10,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-10_6_10,LAPPEAC21012,6,10,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-10_7_10,LAPPEAC21012,7,10,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-10_8_10,LAPPEAC21012,8,10,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-10_9_10,LAPPEAC21012,9,10,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-10_10_10,LAPPEAC21012,10,10,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-2_1_10,LAPPEAC21012,1,10,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-2_2_10,LAPPEAC21012,2,10,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-2_3_10,LAPPEAC21012,3,10,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-2_4_10,LAPPEAC21012,4,10,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-2_5_10,LAPPEAC21012,5,10,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-2_6_10,LAPPEAC21012,6,10,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-2_7_10,LAPPEAC21012,7,10,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-2_8_10,LAPPEAC21012,8,10,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-2_9_10,LAPPEAC21012,9,10,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-2_10_10,LAPPEAC21012,10,10,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-4_1_21,LAPPEAC21012,1,21,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-4_2_21,LAPPEAC21012,2,21,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-4_3_21,LAPPEAC21012,3,21,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-4_4_21,LAPPEAC21012,4,21,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-4_5_21,LAPPEAC21012,5,21,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-4_6_21,LAPPEAC21012,6,21,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-4_7_21,LAPPEAC21012,7,21,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-4_8_21,LAPPEAC21012,8,21,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-4_9_21,LAPPEAC21012,9,21,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-4_10_21,LAPPEAC21012,10,21,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-4_11_21,LAPPEAC21012,11,21,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-4_12_21,LAPPEAC21012,12,21,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-4_13_21,LAPPEAC21012,13,21,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-4_14_21,LAPPEAC21012,14,21,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-4_15_21,LAPPEAC21012,15,21,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-4_16_21,LAPPEAC21012,16,21,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-4_17_21,LAPPEAC21012,17,21,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-4_18_21,LAPPEAC21012,18,21,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-4_19_21,LAPPEAC21012,19,21,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-4_20_21,LAPPEAC21012,20,21,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-4_21_21,LAPPEAC21012,21,21,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-5_1_6,LAPPEAC21012,1,6,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-5_2_6,LAPPEAC21012,2,6,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-5_3_6,LAPPEAC21012,3,6,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-5_4_6,LAPPEAC21012,4,6,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-5_5_6,LAPPEAC21012,5,6,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-5_6_6,LAPPEAC21012,6,6,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-6_1_4,LAPPEAC21012,1,4,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-6_2_4,LAPPEAC21012,2,4,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-6_3_4,LAPPEAC21012,3,4,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-6_4_4,LAPPEAC21012,4,4,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-8_1_10,LAPPEAC21012,1,10,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-8_2_10,LAPPEAC21012,2,10,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-8_3_10,LAPPEAC21012,3,10,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-8_4_10,LAPPEAC21012,4,10,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-8_5_10,LAPPEAC21012,5,10,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-8_6_10,LAPPEAC21012,6,10,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-8_7_10,LAPPEAC21012,7,10,get scale from original image (check Svea's redo of Jaret's work),,,,,
appendiculata,LAPPEAC21012-8_8_10,LAPPEAC21012,8,10,get scale from original image (check Svea's redo of Jaret's work),,,,,
